Ipomoea sp	Morning glory sp
Cyperus metzii	
Gmelina elliptica	
Lamium amplexicaule	
Urochloa ramosa	Urochloa  - ramosa
Briza maxima	
Lepidium bonariense	
Barleria sp	Barleria sp
Erodium cicutarium	
Lycium ferocissimum	African boxthorn
Medicago truncatula	
Sagina apetala	
Apium graveolens	
Cotula australis	
Hedypnois cretica	
Ciclospermum leptophyllum	
Euphorbia supina	
Rumex brownii	
Verbena supina	
Desmanthus virgatus	
Cenchrus longispinus	
Amaranthus tricolor	
Chenopodium giganteum	
Piper aduncum	Spiked pepper
Silene nocturna	
Pistia stratiotes	Water lettuce
Brassica oleracea	
Hypochoeris radicata	
Poa pratensis	
Fumaria indica	
Cardamine hirsuta	
Panicum gilvum	
Piptatherum miliaceum	
Ipomoea hederifolia	Morning glory - hederifolia
Paspalum notatum	Bahia grass
Tephrosia nana	
Dittrichia graveolens	
Brassica juncea	
Vaccaria hispanica	
Crotalaria juncea	Crotalaria - juncea
Sporobolus natalensis	Rats tail grass - natalensis
Eriocereus martinii	Harrisia cactus
Crotalaria senegalensis	Crotalaria - Weedy
Chromolaena odorata	Siam weed
Boerhavia erecta	Erect spiderling
